DateTime;Carvajal - Sevillana;Fontibon;Kennedy;MinAmbiente;Puente Aranda;Suba;Tunal
01-05-2020 24:00;9,5;10,8;9,3;3,9;11,2;10,6;3,4
02-05-2020 24:00;17,5;14;17,3;8,5;15,7;13,2;11,9
03-05-2020 24:00;12,4;13,7;11,8;7,5;11,1;12,2;5,8
04-05-2020 24:00;20,7;12,5;14,5;7,6;12;10,9;8,1
05-05-2020 24:00;16,2;10,7;9,5;5,8;12,4;7,6;5,1
06-05-2020 24:00;17,7;13;14,4;7,9;13,1;11;7,4
07-05-2020 24:00;17;10,5;9,5;6;10,2;4,6;5,3
08-05-2020 24:00;16,1;11,2;12,4;4,5;11,8;7,5;4,8
09-05-2020 24:00;15,6;6,1;7,2;2,7;6,4;2,8;2,6
10-05-2020 24:00;9,8;7;7,8;2,2;6,7;3,5;3,9
11-05-2020 24:00;17,7;14;15;8,7;13,2;7,5;8,1
12-05-2020 24:00;30,1;19,2;18,5;14,6;19,8;15,1;19,5
13-05-2020 24:00;27,5;20,1;23,1;11,3;24,2;14,5;15,7
14-05-2020 24:00;32,2;24,9;28,9;10,8;22,9;15,9;14,3
15-05-2020 24:00;22,6;13,4;15,5;8,3;20,4;8,3;8,4
16-05-2020 24:00;13,9;7,1;6,3;2,4;5,8;3,4;2,4
17-05-2020 24:00;9,6;5,5;4;2;5,2;2,5;2,5
18-05-2020 24:00;19,6;10,5;9,7;3;7,5;4,8;3,5
19-05-2020 24:00;24,5;11,8;15,3;8,2;11,6;8,8;6,5
20-05-2020 24:00;24,8;15,7;17,3;9,6;16;10;10,2
21-05-2020 24:00;21,7;10,6;10,5;6;11,6;8,4;4,1
22-05-2020 24:00;19,6;11,4;13,3;4,9;11;7,3;6
23-05-2020 24:00;15,8;7;10,3;3,1;8,7;6,2;4,3
24-05-2020 24:00;10,3;7,1;10,1;3,9;8;5,8;4,5
25-05-2020 24:00;9;6,5;8,1;2,6;6,7;4,4;2,4
26-05-2020 24:00;18,4;7,9;8,4;4,3;6,9;3,8;4,1
27-05-2020 24:00;19,7;11,8;8,4;4,4;8,5;3,5;2,9
28-05-2020 24:00;19,9;15,1;16,1;14,3;17,8;13,6;15,7
29-05-2020 24:00;28,3;17;16,3;9,8;17,7;13;13,6
30-05-2020 24:00;18,3;14,4;19,1;13,8;19;10,5;15,6
31-05-2020 24:00;13,4;10,1;11,3;7,3;12,4;9,5;16,3
